Unnamed: 0,CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime,idx_resources,idx_energy,idx_logistics,idx_market,idx_security,RELMS_index,RELM_index,rank
862,16025,0.0,0.4883775758368008,0.8115150996941517,0.2335660144174166,0.3312427523785662,0.2628290144250744,1.0,0.3326575296869255,0.4285344125167568,0.0,0.678245686466417,0.3920301076283823,0.8212921674167302,0.5477950842859758,0.4728919903778824,0.3805959711018412,0.3655275562442114,0.6499463377654763,0.5477950842859758,0.4719851992216972,0.45473244523301076,1072
745,15117,0.457891543547254,0.2761777132000235,0.407936154559633,0.2964702386829921,0.3157760260453732,0.2160751368063818,1.0,0.3322320871042152,0.5263555288767929,0.0,0.612244838801915,0.1930284761284147,0.8429462157448122,0.8275164340507248,0.5265277685555989,0.4292938079905041,0.3656642803069494,0.3420569338798283,0.8275164340507248,0.4718747011809735,0.4100522606873879,1073
314,10001,0.0,0.4092766934510334,0.4900315051703603,0.1620087754760916,0.543281026138714,0.2597007261518196,1.0,0.2674178920274325,0.3455276407368169,1.0,0.8067736965605403,0.4115934385945122,0.7947952132712555,0.5686027970051493,0.5032905871065769,0.30647276638212473,0.5929981055533251,0.4496540993106969,0.5686027970051493,0.4718351708827961,0.4503349360911948,1074
557,14118,0.0,0.350914986716917,0.5422687467799874,0.2091840070614791,0.4183938511395113,0.2291676456767502,1.0,0.4105710451968329,0.4766157715925866,0.0,0.7963526408558967,0.3086966468252638,0.7947952132712555,0.668732778856004,0.474961125238104,0.44359340839470973,0.3713491007755481,0.4465918667484522,0.668732778856004,0.4717563877207661,0.4323486267253324,1075
505,13025,0.2889724990448923,0.2925864941600665,0.4767700470365016,0.2896855627744433,0.5627029043905484,0.3421151724019667,1.0,0.4601561333920166,0.3358435337788906,0.0,0.3899261885885805,0.3232166475795134,0.869453057760477,0.7430174073632629,0.46789209824336575,0.3979998335854536,0.43890072791339174,0.3846782705982841,0.7430174073632629,0.4717352277844851,0.4210882658747927,1076
882,16001,0.4392302202036184,0.3357610866723778,0.5081302213907973,0.2515770733636723,0.3270760789480113,0.279118434192199,1.0,0.4018823660234618,0.3757931513031389,0.0,0.6621798146111768,0.3940264128309824,0.8429462157448122,0.6550328681014498,0.5845956658476474,0.38883775866330034,0.37155431730077654,0.42194565403158757,0.6550328681014498,0.47166449882925265,0.43448592598285135,1077
282,9009,0.0,0.538077972856484,0.6741843390004781,0.3133419316863454,0.3798396037304156,0.1872451861681965,1.0,0.51931719104561,0.5053369348360146,0.0,0.7407728488960379,0.4830866193400564,0.8212921674167302,0.3908903859825862,0.5112879089132061,0.5123270629408123,0.3760853443169915,0.606131155928481,0.3908903859825862,0.47165469881546157,0.49432942140420955,1078
2233,30195,0.4532684132055056,0.2344022047457073,0.4264996201026877,0.3974904287955261,0.4453010549805378,0.3580924458034786,1.0,0.3337793520580593,0.3480998489083826,0.0,0.5505862529688443,0.2860469511970966,0.8429462157448122,0.8822616494359928,0.5332119582790646,0.3409396004832209,0.4401767859159085,0.3304509124241975,0.8822616494359928,0.4716086522714109,0.4032532301255429,1079
933,17020,0.0,0.443383396677141,0.5733821942958884,0.3136505181667252,0.3644545694123892,0.1829926801839607,1.0,0.4277718103845632,0.4682595870643129,1.0,0.722101661352027,0.1526137157830904,0.8212921674167302,0.42196458439947,0.4240018861379619,0.448015698724438,0.5722195535526151,0.5083827954865148,0.42196458439947,0.4715612524035218,0.4848458024217881,1080
565,14108,0.055513511687732,0.5493030224077621,0.5931717330893097,0.2122056948424101,0.2563768487629213,0.3978219217730954,1.0,0.3463612476935053,0.2747749818653144,1.0,0.55275717683412,0.0908008471158391,0.8429462157448122,0.5944481503487452,0.3855044378456258,0.3105681147794098,0.5732808930756853,0.5712373777485359,0.5944481503487452,0.4715164649214031,0.44498214286646215,1081
1629,21101,0.3484713972187253,0.1305158842075091,0.3704667967482067,0.3320601456818126,0.4698043362039641,0.2952938289617028,1.0,0.4978555297515058,0.6306633722146273,0.0,0.3369518158427125,0.1654106014617391,0.9301468010770012,0.8822616494359928,0.4452451539000445,0.5642594509830665,0.4194316621694959,0.2504913404778579,0.8822616494359928,0.4714393992987642,0.403072336641318,1082
