CVEGEO,long,lat
13062,-98.83294314397551,21.061412012102267
13044,-99.67266287063087,20.232990348302724
13016,-98.28168566314086,19.98428206536398
13015,-99.06017466231242,20.599112150230074
13014,-98.54849480380568,20.906060546399292
13068,-98.54421051067341,20.77877446647104
13084,-99.36574419486548,20.752831490416355
13081,-98.58673520973711,20.65074785902198
13043,-99.17541353273666,20.78645361287228
13066,-98.80335665302198,19.912817260456446
13013,-99.23137800760657,19.97343060300286
13025,-98.24714846127729,21.03823482305039
13048,-98.78225261862752,20.102083741061406
13038,-98.75355527100444,20.2230335368532
13052,-98.94005772235212,20.095567004975784
13037,-98.80964635018914,20.565402871265306
13036,-98.6052928833653,20.523774797872527
13053,-98.19109373721913,20.468497789023516
13012,-98.67648140975089,20.354832777088856
13011,-98.36354760974001,21.027296877084297
13010,-99.2213696447225,20.054744139738823
13009,-98.88256632020345,20.217137482123118
13008,-98.44703018015844,19.7228703512591
13007,-98.32709026029714,19.74160968236124
13006,-99.4053982768925,20.407083241488095
13054,-99.04782804435568,20.304731348134837
13055,-98.98285675094891,20.41235973176568
13080,-98.38350745114462,20.916240059561847
13079,-98.63959523667593,20.794893766224757
13035,-98.34291078743827,20.25780568190667
13073,-98.64815928604341,21.031810163747313
13034,-98.72327609739342,20.962070520327664
13019,-99.25513649946082,20.324299974949284
13077,-98.35094949724491,20.123595879394646
13051,-98.72018424227925,20.05866200912306
13082,-98.85528749463957,19.99260096408682
13064,-99.39869401619106,20.194207421297886
13024,-98.54311618089675,20.225880082194713
13041,-99.18072646496861,20.223843406268234
13060,-98.21084081494567,20.343356107741364
13059,-99.63246484636159,20.539273921712258
13032,-98.52756564444738,21.148473423087765
13058,-99.37581583667578,20.54234090199133
13057,-98.4954304167859,19.98758163305547
13050,-99.17814907376787,20.31432232013259
13056,-98.39276574304203,20.035647477307744
13042,-98.7763758948686,20.864353005364194
13040,-99.0704847941536,21.07094465530601
13069,-98.9611772214532,19.852521571226674
13039,-98.65881754214094,20.140347850901804
13033,-98.83573718454693,20.83157302150679
14018,-102.52330354192432,20.363827715201925
14097,-103.41699322995117,20.478236209462107
14114,-103.7088398853377,20.3896038318125
14113,-103.73885960688037,19.709900149467604
14112,-102.97263092046802,19.835055739092475
14111,-102.65094393588151,21.046509794527342
14110,-104.25572820358023,19.9928403685309
14109,-101.99717437089355,21.154681268389464
14124,-103.04879129548625,20.636022928122685
14065,-103.38187748041452,19.146472697943782
14116,-102.59357108491461,21.667714318027446
14117,-102.7012475203862,21.159817360199725
14118,-102.93362289801614,21.13791934688428
14119,-103.56758646748287,20.233896928422574
14014,-103.47046130669123,19.99642507705462
14015,-104.31209615139882,19.743424146119583
14017,-104.4348686203941,20.050219964534907
14043,-104.86305439515111,19.514602790172457
14106,-104.03315923779478,19.681213915330094
14107,-103.24199710289228,20.14689097302614
14108,-103.45723389709474,19.47895401776116
14115,-103.68662832945077,22.02876384809795
14075,-104.2320466181952,20.824679526732396
14077,-103.90519080438794,20.449887102081128
14078,-102.3796421230838,20.99258942988701
14074,-102.16346772346,20.997628067120313
14076,-103.78458640329514,21.595207536882196
14069,-102.86825756328656,19.804474981901606
14123,-102.92499966778196,20.460900314267324
14122,-103.75834019659145,19.5155672963309
14121,-103.34572070297985,19.621578161457794
14120,-103.49423565412712,20.79440136116244
14002,-103.60843854801004,20.425173573610532
14003,-103.93538615401427,20.71145610896373
14005,-103.71724882769524,20.849979241950695
14055,-104.03073617847711,20.908262385727266
14086,-103.76547066683776,19.948200242417254
14098,-103.34784934472668,20.59148685158785
14025,-103.28716091960459,22.091688251952814
14027,-104.3111042722688,19.435630240675046
14028,-104.50986560654866,20.19300042967974
14101,-103.21432557059934,20.620040152504263
14022,-104.61501367341683,19.277353355016675
14039,-103.33574208524398,20.67622671882881
14044,-103.20737030887051,20.39163783174248
14051,-103.13519566402336,20.48170327764401
14070,-103.24543196229378,20.539023303731156
14125,-102.50639853396375,20.764591391066414
14071,-103.5001195051429,21.047878342116167
14068,-104.7228440664138,19.807163713108324
14067,-105.1492906330168,20.697699322628075
14066,-102.89465613914912,20.270204038026428
14064,-101.71503866316286,21.810754571310145
14063,-102.72405698865377,20.397437527287167
14062,-104.45281665701917,20.508890954211935
14061,-103.99464424350548,22.222383500792564
14060,-102.75353119697037,21.26384280510666
14059,-103.07251697045878,19.89422716292218
14058,-104.81402551712523,20.578911806639315
14057,-103.10782795380958,20.021506032457328
14056,-102.83862053456096,19.529193194995806
14054,-104.10031536930866,19.840785668920955
14053,-101.87963210737198,21.493829950115728
14052,-104.03664694194397,20.05422797708352
14050,-103.41716449042237,20.314496767537825
14031,-103.66490297425203,21.731853153236496
14049,-102.88112194732697,19.329534795070234
14048,-102.11985846026235,20.63544998967448
14047,-102.68566582617193,20.28011881835608
14046,-102.48930981613026,21.191642083624004
14045,-103.22778499004336,20.898493678591894
14042,-103.91622987296827,22.58360167240387
14041,-103.23394667372175,22.31854447486848
14040,-104.07537897708795,21.057458526976852
14038,-104.4214332248957,20.67882649764584
14037,-104.19508507180292,19.801037378016183
14036,-104.12376979170114,20.743579417422023
14035,-102.19154464698403,21.55567593877039
14034,-104.08161986932525,19.912415409308995
14033,-102.16780997568371,20.447886089553943
14004,-103.62257962613045,19.999935314407974
14019,-103.92283162605462,21.87637246956306
14001,-102.9091572135156,20.77004232071132
14006,-104.08052153431757,20.541652709064937
14007,-104.00675641668022,20.809088056824518
14008,-102.30066264640233,20.766412932316637
14009,-103.67900282887908,20.754966734458318
14072,-102.02346317107282,20.97010700439988
14080,-104.82612801593689,20.852440221162418
14081,-103.18126031896097,22.193301870534
14082,-103.59463783632864,19.861749530960555
14083,-103.68216440904212,20.607401736341615
14084,-104.95339043006135,20.299370023924144
14085,-103.17922562357565,19.68738994697182
14087,-103.19241776178663,19.225091729488295
14088,-104.02412099049648,20.259188687578483
14089,-103.57525683940167,20.092425221264342
14094,-103.78102688814153,21.11230316495302
14095,-103.83239527758055,20.67924083876375
14096,-103.07107468186267,20.119619019802094
14032,-103.8801961313814,20.082266213668706
14030,-103.18790706006014,20.259867953566065
14029,-103.028707346536,20.95236367715592
14026,-103.23641872614876,19.982399713164448
14024,-103.8244582839042,20.39031651008322
14023,-103.51032793687979,19.710764715219284
14021,-104.47016772978445,19.602913621892792
14020,-105.40658858637752,20.342382033862393
14016,-102.34291925725825,20.488788088729937
14011,-104.27392038614221,20.31805948003045
14013,-102.53961628083776,20.54754684579987
14010,-103.73161773137542,20.172937192653613
14012,-104.55070583404955,20.336692570545107
14073,-102.29432353741883,21.26966526034814
14079,-103.41720553140783,19.85645329778341
14093,-102.72082690987337,20.814764190155717
14099,-103.93057391314038,19.55288619131413
