CVEGEO,local_I,p_sim,quadrant,cluster
09013,0.060468406477994806,0.328,HH,ns
09014,0.02796259040330935,0.34,LL,ns
09015,-0.03187799777483247,0.488,LH,ns
09016,0.15199872190194594,0.299,HH,ns
09017,0.032222737666395634,0.169,LL,ns
10001,-0.11422415868639946,0.104,HL,ns
10002,0.49846724003476023,0.173,LL,ns
10003,0.19412634201045303,0.356,LL,ns
10004,-0.00877330088152708,0.487,LH,ns
10005,0.0538092630046699,0.301,LL,ns
10006,0.1657997611025558,0.255,LL,ns
10007,0.30988991986205017,0.216,HH,ns
10008,-0.010097208988688358,0.443,HL,ns
10009,0.202578701091786,0.096,LL,ns
10010,0.9566574729669142,0.051,LL,ns
10011,1.9514454253514348,0.045,LL,LL
10012,-0.047337532217304905,0.381,HL,ns
10013,-0.04964426395391133,0.223,HL,ns
10014,0.2575970918284923,0.199,LL,ns
10015,0.22552794120448863,0.095,LL,ns
10016,0.025553925532267506,0.493,HH,ns
10017,-0.027363546058330256,0.027,HL,HL
10018,0.08176291264866921,0.035,LL,LL
10019,1.643331761974336,0.072,LL,ns
10020,-0.02920745373498486,0.375,HL,ns
10021,0.02325288020279998,0.375,LL,ns
10022,0.1394433635960866,0.215,HH,ns
10023,0.335431507669648,0.06,LL,ns
10024,0.9435515240446444,0.006,LL,LL
10025,0.15598176320544632,0.351,LL,ns
10026,0.8927578044987639,0.043,LL,LL
10027,0.17537855390468093,0.091,LL,ns
10028,0.22374650441466634,0.107,LL,ns
10029,1.1365817302622063,0.036,LL,LL
10030,2.0140009070438767,0.03,LL,LL
10031,0.14913501260771636,0.207,LL,ns
10032,0.0010691168605715187,0.031,LL,LL
10033,0.034504509388758396,0.323,HH,ns
10034,0.9486815740438251,0.005,LL,LL
10035,-0.15652650956777087,0.057,HL,ns
10036,0.056204008171556845,0.383,HH,ns
10037,0.5875586020317315,0.096,LL,ns
10038,0.4652056651177346,0.17,HH,ns
10039,-0.27994085985070005,0.123,HL,ns
11001,0.050427105610889617,0.357,HH,ns
11002,0.13925188128703006,0.175,HH,ns
11003,-0.012413991935587652,0.453,LH,ns
11004,-7.334426840438571e-05,0.451,HL,ns
11005,-0.12922672042829061,0.202,HL,ns
11006,1.8541545484331228,0.051,LL,ns
11007,-0.049228044008628506,0.045,LH,LH
11008,0.21332675708030105,0.034,HH,HH
11009,0.1705407885628735,0.341,HH,ns
