CVEGEO,dist_min_km,gen_min_km
12001,15.020838206167646,76.85610591460784
12075,13.932425607374272,64.16644025090726
12055,65.54256255150861,32.59907429672824
12006,33.49268823876757,85.59702030379515
12037,56.81931439939764,39.241485846649894
12085,32.32912450783752,127.59720573726527
12027,34.510253178984655,101.04727358280735
12015,62.0696211568951,40.39260090084588
12074,48.223420227817506,37.85284461549508
12014,38.63855707096966,138.5800446801334
12018,55.987448185584675,92.09005932979734
12072,82.73365028390735,36.90169536400349
12009,66.36110112838408,63.82692637779169
12081,45.949356423721625,68.8940949106008
12084,48.44768485622916,64.14758254020087
12071,29.33807294760537,122.82132267902254
12070,77.63230585841276,88.68216734031073
12083,64.29080663201019,59.00640258875794
12079,83.60348436760094,18.42970378893925
12076,80.20080503329257,32.7598742292623
12065,70.14959837959361,82.35107557689855
12073,57.45023294421348,72.42681302700974
12064,19.85644746402289,90.77662459019162
12019,58.406657692835466,64.65054184029194
12005,78.37476829200793,74.22351609781049
12030,76.91309686130488,79.27742550310269
12069,78.46609262926883,66.36281313398891
12036,14.665433284618627,98.16341511640748
12080,30.236212433034982,104.09740744795872
12078,44.799547432104966,86.30021309111461
12077,35.8130045780062,96.12293535690785
12023,26.386850600861173,124.81754066349292
12048,95.93733888261777,107.5707190969295
12053,43.656482483566954,71.00098440115869
12054,36.38885023520222,126.89757973802388
12047,50.13938386552206,35.74127564686685
12049,59.751565300268105,13.10168653805645
12050,6.6341598911521515,111.49593022240741
12051,81.03022919021085,10.744245019723826
12045,86.56558232289007,67.53838002171126
12046,7.455444355366965,119.7397759717753
12040,26.02280782845422,71.35729255585763
12013,16.843039353531033,102.23870337750267
12062,30.890834647220373,107.89959203940268
12041,61.79347951838383,55.95409575923963
12042,27.80980222570106,51.19516862501669
12044,69.73772473056185,23.172344208464505
12038,83.64164951711649,71.35728418868152
12039,47.79725927416034,43.993479097336426
12002,71.47043654248458,44.363391424666204
12003,48.394637167016725,139.34001461699546
12034,49.69354725217865,60.42692420369926
12035,33.191487321254854,64.76298480756174
12031,23.044047320118043,60.9995045966377
12032,7.8903535192778875,98.27695743672642
12033,80.60678966559186,79.4190243116505
12028,68.37264664963703,13.994750816511173
12029,53.18415515005332,56.55539783017751
12008,61.08052730621742,71.68252460316134
12025,58.759061752987215,79.33967999624693
12026,31.454244103343573,76.89629948041032
12059,23.726489271622015,78.91902600135923
12061,43.89786637562179,30.13160699231986
12052,41.26913498441159,73.54138908094609
12067,18.533049359759577,100.97279173181708
12016,68.67046374019883,26.612748540530422
12017,25.632288127898956,74.68101109355668
12020,87.41058481343545,49.34802588829903
12022,40.30201422767995,105.10778954860398
13031,52.77742557621887,49.67579945595203
13005,18.044120192630306,21.0909244350012
13075,15.213889989156701,24.304712325745225
13028,4.448955224381853,37.20798204184235
13045,12.70983533445031,15.348962967762073
13021,43.50734293320356,43.46200604591251
13001,24.587649850932284,33.439265676815104
13002,38.95130283221809,56.38767211185311
13049,60.841676443900376,21.624765562398238
13003,23.911162271291204,30.297736336038295
13030,31.72478240200524,45.69340730418682
13023,11.425724145232383,27.66097213591578
13004,31.705129945060023,48.2517154975753
13027,59.390566462823635,73.32133725480078
13022,27.677903539016114,10.876007984429737
13020,55.434485850018106,20.517424006357164
13074,11.767609802315235,5.715901186497719
13070,12.88741092202442,9.520572742115618
13018,55.84270429883306,22.78927694551928
13029,50.58143746026045,31.22829711476812
13071,65.36764370208668,37.29384789559604
13076,3.6169617058836807,11.104217522376105
13046,22.454677912174855,20.65831495747276
13065,14.370144364349816,13.722749087643491
13061,47.60893249297022,38.587787909272485
