CVEGEO,economic_output
15031,2860.767
15032,29.2
15033,149325.816
15034,32.564
15035,16862.034
15036,359.286
15037,1388.794
15038,17.216
15039,13049.859
15040,98.81
15041,4.763
15042,2473.074
15043,281.573
15044,142.834
15045,42664.426
15046,225.873
15047,38.188
15048,11161.987
15049,54.445
15050,72.141
15051,125640.831
15052,91.726
15053,493.904
15054,2062.368
15055,477.582
15056,305.281
15057,76931.815
15058,12621.71
15059,163.793
15060,3228.551
15061,174.893
15062,13546.842
15063,34.882
15064,96.94
15065,289.672
15066,2.669
15067,799.413
15068,386.909
15069,79.661
15070,15432.574
15071,1973.095
15072,1897.873
15073,4427.251
15074,201.669
15075,1542.141
15076,5365.348
15077,8.982
15078,11.715
15079,313.372
15080,24.059
15081,11708.417
15082,224.175
15083,26.356
15084,247.957
15085,433.508
15086,21.554
15087,357.419
15088,338.872
15089,47.646
15090,4794.758
15091,3123.566
15092,6370.295
15093,157.218
15094,62.676
15095,44591.72
15096,716.277
15097,27.437
15098,13.574
15099,9628.018
15100,884.224
15101,44737.322
15102,531.173
15103,99.723
15104,103950.098
15105,20.483
15106,304660.45
15107,38.658
15108,12618.949
15109,59462.204
15110,214.772
15111,45.005
15112,163.357
15113,110.105
15114,207.655
15115,218.439
15116,130.638
15117,36.052
15118,7011.279
15119,16.088
15120,1032.561
15121,195019.727
15122,2185.917
15123,64.23
15124,31.409
15125,37.158
16001,79.774
16002,48.309
16003,64.231
16004,37.996
16005,24.857
16006,1660.482
16007,28.059
16008,7.843
16009,109.691
16010,79.547
16011,55.229
16012,429.676
16013,20.812
16014,55.229
16015,138.264
16016,66.588
16017,22.424
16018,18.357
16019,469.133
16020,433.639
16021,132.239
16022,96.541
16023,508.172
16024,196.883
16025,593.567
16026,2.223
16027,10.928
16028,12.178
16029,37.172
16030,995.595
16031,20.638
16032,23.61
16033,109.586
16034,2080.309
16035,71.757
16036,43.0
16037,25.532
16038,172.695
16039,20.435
16040,75.564
16041,49.892
16042,550.273
16043,7490.795
16044,33.468
16045,1346.25
16046,41.268
16047,40.696
16048,407.837
16049,69.67
16050,266.854
16051,1568.86
16052,86185.351
16053,46044.16
16054,25.4
16055,214.917
16056,384.94
16057,32.377
16058,505.319
16059,0.0
16060,46.099
16061,122.252
16062,97.115
16063,166.969
16064,66.348
16065,537.412
16066,510.718
16067,54.517
16068,235.543
16069,7443.297
16070,953.623
16071,278.889
16072,43.614
16073,284.598
16074,79.893
16075,324.168
16076,2330.631
16077,55.085
16078,87.604
16079,716.325
16080,18.677
16081,0.0
16082,873.546
16083,52.788
16084,134.663
16085,177.337
16086,67.417
16087,510.967
16088,1218.553
16089,159.191
16090,88.973
16091,231.602
16092,44.996
16093,122.461
16094,13.541
16095,1080.597
16096,10.087
16097,80.623
16098,53.003
16099,25.661
16100,104.241
16101,4.466
16102,7476.328
16103,299.703
16104,1969.775
16105,13157.933
16106,247.393
16107,8649.886
16108,7579.914
16109,14.977
16110,269.084
16111,48.935
16112,899.505
16113,62.343
17001,32.933
17002,89.078
17003,169.197
17004,28814.844
17005,8.014
17006,9859.015
17007,19422.143
17008,6425.17
17009,221.367
17010,100.337
17011,68401.333
17012,251.491
17013,61.996
17014,20.028
17015,40.248
17016,50.476
17017,205.703
17018,420.811
17019,84.661
17020,329.076
17021,18.044
17022,47.861
17023,13.671
17024,115.482
17025,91.534
17026,136.293
17027,25.156
17028,2112.063
17029,1058.964
17030,8551.698
17031,2363.45
17032,51.994
17033,487.954
17034,33.688
17035,798.477
17036,27.422
18001,1543.95
18002,88.064
18003,45.764
18004,382.661
18005,13.047
18006,398.166
18007,81.705
18008,462.331
18009,11.311
18010,38.794
18011,138.452
18012,262.615
18013,13.916
18014,557.768
18015,354.175
18016,129.117
18017,14729.812
18018,153.603
18019,6.766
18020,1805.113
19001,669.515
19002,67.825
19004,1388.113
19005,4234.289
19006,340854.751
