CVEGEO,distance_ciit
16039,808.9919907732886
16026,979.6122650963208
16027,815.974746830586
16028,901.7442994522868
16029,786.8843430349629
16030,919.9869401394061
16054,829.5310960166902
16033,850.4234482783644
16076,970.430590953302
16075,912.7909806465121
16080,703.7615433949894
16081,684.0803025278568
16082,795.5655839020955
16099,707.3229432149761
16003,780.1463197058398
16090,849.5777772109155
16091,930.0041840821087
16048,806.4772721475273
16001,794.50670939905
16024,874.5189027078701
16009,818.0092347159913
16008,943.8010819142772
16007,704.6194077712584
16006,883.0681092190367
16005,693.376767084139
16004,865.1585130146599
16011,959.7148622007641
16010,840.972654789531
16110,753.1463197058398
16109,897.2295808265254
16108,916.1879502661826
16107,861.6610383316012
16106,924.6143571373758
16013,739.7249634685292
16044,853.6316010800784
16043,917.6316010800784
16077,691.4995667241125
16032,841.5483399593928
16031,716.9869401394061
16098,710.4772721475273
16097,778.0681092190367
16096,875.6711395993663
16113,854.5432893255103
16112,688.6782822743038
17008,537.9259735953057
17003,479.0853531617394
17036,490.2396820942906
17029,527.4112549695444
17018,549.168614282425
17014,550.7127701597091
17019,497.15642097360495
17006,515.3401871576788
17001,548.1564209736049
17025,511.428498912247
17002,513.7249634685292
17026,523.1391770309023
17023,529.2813126546333
17004,512.3696244092015
17010,488.12698372208223
17017,537.4995667241125
17015,557.9259735953057
17022,493.4823227814099
17009,555.6955262170064
17011,539.8254685319174
17012,531.1564209736049
17024,524.9554108468284
17030,505.99704140717125
17013,492.298556597336
17034,548.1980515339477
17020,538.7960312803947
17031,532.4701294725897
17021,556.1269837220822
17027,519.6244584051409
17016,499.2396820942906
17032,492.9259735953057
17033,494.4406922210671
17035,538.7127701597091
17007,552.310749906156
17005,561.7838379715746
17028,541.440692221067
18009,1258.1139238614894
18003,1176.2955980045083
18015,1316.1017305526693
18014,1217.9057710597754
18007,1190.6214998123132
18005,1347.7657274770993
18017,1255.3321779309686
18013,1225.793072687567
18012,1317.7463914933417
18011,1283.9007204258928
18010,1316.1139238614894
18002,1202.4082963767166
18001,1334.8540392316675
18018,1326.0722933011466
18019,1180.7758287448644
18004,1256.9646455628208
18006,1174.5798692519704
18020,1266.1240251292545
18008,1257.5626253092678
18016,1356.469262920817
19035,1232.1362184380746
19036,967.2316728675804
19002,1268.8347032479098
19013,1149.1828996323
19014,1022.444876303177
19032,1380.6580797387735
19001,1256.8296526140273
19031,1208.8174593052072
19015,1205.0823945689117
19043,1148.8174593052072
19048,1219.729147550639
19047,1264.9007204258928
19040,1296.1067811865519
19037,1310.5697679842053
19027,1214.8225099390897
19020,1179.2123368838227
19005,1396.9179643685954
19019,1222.1727983645346
19041,1217.0184694319837
19008,1333.457069611997
19026,1219.5453813665652
19051,1312.7585848021617
19007,1046.0479066835064
19050,1314.7047609329989
19049,1188.3738084913114
19034,1231.6042558696106
19045,1276.444876303177
19038,1142.5626253092678
19033,1100.5504320004477
19010,1250.7585848021617
19023,1248.4793641885822
19009,1191.118974495372
19029,1110.7636354360443
19030,1089.805265996387
19006,1231.716954241819
19028,1250.84689655673
19025,1242.6458864299534
19046,1229.0306627408038
19021,1241.7585848021617
19003,1228.0235200658663
19042,1192.8641404994326
19018,1252.184991673355
19017,1125.587011926908
19016,1222.976838871641
19011,1243.8347032479098
19044,1316.4743135546996
19004,1170.6753236814761
19022,1143.4082963767166
19024,1003.8347032479099
19039,1220.6875169902962
19012,1251.716954241819
20155,201.48528137423855
20481,301.3259018078044
20378,200.62741699796948
20334,285.923881554251
20437,128.19595949289317
20441,25.72792206135786
20446,307.5685424949237
20447,312.9705627484771
20469,337.6101730552663
20440,57.24264068711928
20513,37.21320343559642
20278,242.54624791833788
20457,160.83556979968256
20482,339.81118318204295
20329,249.7401153701775
20330,232.13203435596478
20170,141.94112549695421
20230,370.9066376115481
20184,203.80613254815984
20214,215.22034611053294
20220,233.5340546095178
20262,174.5096679918779
20266,134.65180361560886
20265,78.3847763108502
20318,239.89444430272812
20327,107.18376618407349
20556,312.362481734264
20005,18.55634918610405
20517,120.91168824543132
20565,194.49747468305821
20503,153.3380951166241
20500,269.69848480983495
20059,178.25483399593895
20177,255.1198410471447
20364,255.9533188057739
20057,68.31370849898474
20544,202.89444430272812
20410,96.98275605729678
20435,112.7401153701775
20417,185.04877323527916
20439,205.76450198781703
20251,401.9066376115481
20467,307.5391052434008
20559,191.84776310850265
20169,251.24473272817312
20118,163.42640687119277
20568,352.5046173579951
20460,126.2081528017129
20044,193.1076477383246
20507,364.1543289325506
20515,52.42640687119282
20516,236.72792206135784
20051,169.0121933088197
20041,257.1736649163076
20042,177.17871555019013
20071,171.30865786510122
20223,156.45079348883218
20190,100.05382386916224
20097,153.23759005323575
20098,226.06096654409924
20101,190.65685424949237
20104,217.69848480983495
20413,154.6934341759515
20120,153.58073580374338
20121,283.6639969244288
20015,169.3847763108502
20125,100.69848480983494
20124,25.65685424949238
20020,330.81118318204295
20153,233.3380951166241
20141,83.08326112068514
20147,274.3086578651012
20150,232.55129855222052
20164,369.39191898578673
20204,91.14213562373092
20035,184.48023074035504
20202,234.29646455628153
20566,250.7989898732233
20217,245.5391052434008
20016,359.43860018001243
20229,228.7989898732233
20232,214.81832585697992
20235,154.87005768508874
20236,163.923881554251
20525,84.89949493661165
20526,248.0954544295048
20052,70.18376618407349
20290,378.1198410471447
20043,27.870057685088817
20079,46.556349186104015
20207,76.32590180780443
20356,165.81118318204295
20340,349.0315292925765
20218,270.0538238691622
20386,263.69848480983495
20179,222.86500705120528
20524,326.3208511739212
20264,272.7350647362943
20333,123.07106781186546
20198,55.65685424949237
20365,177.26702730475864
20002,269.10259710444205
20006,261.4507934888322
20008,86.98275605729678
20009,171.29141392239848
20010,27.071067811865476
20414,322.5391052434008
20291,200.5391052434008
20298,146.15432893255058
20385,195.39696961966987
20023,200.9827560572968
20306,172.16652224137027
20310,205.05382386916224
20309,236.10259710444205
20324,175.5218613006977
20337,131.63961030678917
20351,183.7695526217004
20562,281.13708498984744
20426,227.63961030678917
20427,35.41421356237309
20021,287.48737341529244
20175,226.49242404917499
20466,283.79898987322326
20468,157.42135623730945
20470,55.69848480983495
20479,283.2081528017129
20498,120.46803743153534
20133,297.63961030678917
20134,225.85995641732273
20138,152.68124086713172
20149,198.7989898732233
20161,243.9655121145936
20159,219.29646455628153
20047,311.6051224213833
20094,239.923881554251
20031,120.46803743153534
20279,167.85281374238554
20401,228.0365799264591
20367,307.3259018078044
20359,201.2081528017129
20511,237.02438661763935
20096,276.1076477383246
20504,196.99494936611646
20537,369.59292911256324
20543,276.1543289325506
20548,303.1320343559648
20076,297.24264068711926
20463,250.5218613006977
20436,262.2914139223985
20523,284.17871555019013
20054,263.9655121145936
20168,351.08326112068517
20185,329.65685424949237
20246,144.43860018001243
20277,215.21320343559637
20542,181.89949493661163
20357,84.0
20489,289.9116882454313
20490,279.07315985291933
20502,113.92388155425103
20163,271.1736649163076
20166,192.04877323527916
20237,352.87720036002537
20506,141.7106781186546
20508,11.485281374238571
20205,131.72287142747433
20271,203.3847763108502
20545,287.68838354206895
20546,173.46803743153532
20547,314.7056274847716
20186,397.26197667087575
20227,207.36753236814698
20261,371.5046173579951
20552,314.5046173579951
20550,174.39696961966987
20253,159.82337649086264
20254,174.19595949289317
20272,264.0538238691622
20273,218.84062043356585
20275,92.39696961966987
20551,147.59797974644658
20553,186.1248916810277
20493,277.2792206135784
20554,130.99494936611646
20555,196.25483399593895
20018,316.88939366884546
20036,44.59797974644665
20338,209.68124086713172
20344,213.26702730475864
20366,197.0954544295048
20377,279.89949493661163
20451,267.9777054234136
20404,276.83556979968256
20407,92.05382386916226
20558,258.362481734264
20561,148.72792206135784
20056,341.21320343559637
20563,190.11269837220803
20497,247.29646455628153
20549,339.83556979968256
20564,256.4680374315353
20099,399.7350647362943
20491,239.89949493661163
20379,304.36753236814695
20494,219.39696961966987
20499,304.8650070512053
20058,263.3746750430841
20569,249.58073580374338
20570,214.21320343559637
20567,406.1198410471447
20423,294.3797256769667
20528,342.3797256769667
20112,158.21320343559637
20510,271.1837661840735
20129,296.87720036002537
20371,280.22539674441606
20424,156.02438661763935
20406,258.8010819142773
20422,288.5634918610405
20450,260.24264068711926
20075,77.62741699796948
20501,379.6639969244288
