CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime
7004,388.45366,55.994,156,356.8406204,190.9116882,242.7980405,1,36.19774974,135.0769237,0,1411.089977,0.918649435,2500,4
7005,577.409318,19.931,26,276.0782105,288.3502884,122.0337059,1,50.71835078,22.67377714,0,1285.530027,5.305162907,3500,1
7006,697.527042,,61,366.5218613,60.28427125,338.6164626,1,68.78202258,64.16358442,0,1422.039967,0.428687364,1200,5
7007,143.591609,72.063,1147,293.5563492,172.1543289,229.4082,1,31.61463465,83.49746811,0,1543.22006,8.267015457,0,1
7029,190.085458,15.867,34,233.4386002,253.2914139,159.7559596,1,26.9166494,6.321576799,0,1473.505065,5.736666679,1000,2
7012,295.2518,1330.537,1095,205.8111832,245.9898987,174.0717646,1,18.02616017,22.94788482,0,1370.209981,10.5693531,1500,7
7013,190.085458,80.226,116,250.6812409,249.6639969,159.5542364,1,36.97665942,16.60114921,0,1485.184915,4.833772659,1500,8
7014,577.409318,18.143,63,274.9238816,243.137085,163.093487,1,34.42910689,37.77965513,0,1320.205038,0.024830652,2000,1
7015,38.479355,98.296,235,384.4751801,4.414213562,346.307398,1,16.058805,21.2358175,0,1175.30001,0.048487239,4500,6
7016,161.080504,9.24,24,384.374675,303.3847763,147.2587775,1,49.0223811,98.02925298,1,1615.855017,101.8239899,2500,14
7019,143.591609,728.726,1174,318.9705627,138.7989899,260.763473,1,65.0794825,114.3776098,0,1620.964994,17.09738159,1200,125
7020,303.352004,14.856,208,274.9533188,123.0660172,260.3691967,1,73.80191683,85.48225424,0,1369.114974,1.259254217,3500,2
7021,190.085458,26.579,79,221.5807358,269.9188309,148.5642027,1,37.23955933,23.95586641,0,1301.589994,8.522498131,1500,5
7033,180.335309,0,2,226.6934342,293.5756852,126.5710972,1,36.40324821,28.19114228,0,1205.230017,3.93377471,3500,1
7053,38.479355,0,7,367.2203461,35.97056275,334.229204,1,47.95720295,45.6779622,0,1428.974986,0.113843486,4000,2
7025,577.409318,14.678,39,244.3502884,290.9482682,123.0115495,1,52.15241803,15.09847957,0,1197.930024,3.590363741,3500,1
7026,577.409318,20.261,112,291.0243866,228.2670273,177.7979434,1,24.59418149,55.89238004,0,1397.949972,1.658125401,2000,3
7027,58.831968,3692.77,459,233.0416306,204.2497834,203.9372021,1,28.58311157,24.05201418,0,1172.745022,2.411323309,1200,61
7030,697.527042,0,124,323.5807358,89.66904756,302.8916205,1,65.67243394,67.91078663,0,1453.430041,1.522796392,2500,19
7031,388.45366,83.906,144,355.7228714,230.2132034,192.4177889,1,24.76543433,105.48583,0,1389.920032,0.878252983,2000,5
7055,38.479355,7.845,24,394.901587,11.48528137,354.0035071,1,11.45279505,11.77268362,0,1678.270018,18.52801514,2500,1
7023,30.605168,28.213,110,273.3969696,216.8233765,187.4683898,1,10.15763884,46.20065227,0,1426.784971,14.10439873,1500,2
7034,697.527042,0,309,355.9949494,82.87005769,318.9590221,1,83.88594232,80.49105312,0,1557.089925,2.13173461,1200,24
7075,143.591609,72.642,227,295.4852814,153.4974747,246.0470425,1,46.25999399,93.22938369,0,1531.540036,15.52232075,1200,1
7076,577.409318,15.261,52,300.5929291,271.1665222,138.7925691,1,49.13967873,43.77382751,0,1393.935002,2.505814314,3000,1
7038,30.605168,5.14,12,299.4264069,191.9827561,210.9885046,1,23.23641858,78.7674573,0,1574.610047,6.460784435,1500,1
7039,577.409318,22.48,42,288.8650071,265.4802307,142.76798,1,56.33591153,34.11228831,0,1355.245022,3.609269142,3500,1
7040,38.479355,2876.313,303,344.3036072,46.24264069,307.6507351,1,25.85446829,13.50426683,1,1532.269983,3.551630974,3500,30
7041,52.993121,77.454,161,362.8700577,145.4680374,288.975515,1,83.14605878,138.349823,0,1317.284988,4.955338955,1200,4
7043,577.409318,24.085,61,250.9066376,301.119841,112.8671369,1,59.23460336,21.12629201,0,1285.895001,8.648472786,4500,4
7044,190.085458,27.152,74,249.9827561,225.3502884,182.0760273,1,28.19559383,25.07781935,0,1491.025014,10.5080471,1200,3
7045,577.409318,8.45,17,266.391919,301.7350647,110.0332237,1,52.71838027,24.57157031,0,1318.744969,11.08189869,4000,3
7046,227.611227,43.05,132,153.2426407,237.3036072,167.4637531,1,42.98375069,49.53445653,0,1439.560002,8.011797905,2000,6
7048,577.409318,51.211,83,252.3330445,335.6761902,81.51566954,1,36.68338478,53.39213687,1,1473.870039,48.31837082,3500,11
7052,52.993121,198.483,277,360.4142136,167.5391052,275.3263431,1,68.30581188,154.7114386,0,1357.435037,2.209548712,1200,30
7056,577.409318,2.331,8,288.2964646,218.8528137,185.8267348,1,17.12399524,57.14761384,0,1486.28001,16.9156208,2000,1
7054,38.479355,63.384,166,360.8305192,39.65685425,322.4777627,1,25.31342352,5.125894565,0,1722.799923,13.99690247,1500,27
7072,190.085458,55.652,135,269.2081528,268.9360749,139.6928689,1,58.35641033,16.6997335,0,1276.404992,18.36962128,3500,4
7111,30.605168,133.749,720,258.8406204,209.9655121,195.0040912,1,13.76796219,37.83252926,0,1416.929989,11.2007618,1200,5
7110,190.085458,17.052,44,261.2842712,196.0660172,207.1743828,1,13.22593192,46.43601295,0,1502.705038,3.998532057,1200,0
7051,303.352004,881.189,222,288.5634919,99.49747468,258.8403211,1,29.38167857,43.62504895,1,1395.394983,0.59335345,3500,32
7050,161.080504,5.807,21,405.3330445,297.9827561,179.5173129,1,31.73784599,115.3515974,1,1624.980052,107.5619125,2500,1
7049,190.085458,11.752,98,266.9533188,232.3797257,173.4277772,1,25.49784573,33.94249575,0,1360.719973,4.186734676,1500,1
7096,577.409318,42.951,218,316.9066376,273.7817459,139.7612612,1,43.82633078,58.16264329,0,1341.740043,2.003162384,3500,3
7097,227.611227,526.452,525,176.7817459,211.2792206,162.0795114,1,61.38539584,12.05128626,1,1401.234995,6.022571087,2500,47
7099,697.527042,91.953,237,362.5685425,120.7401154,300.9797664,1,98.87129263,115.7651204,0,1249.760009,2.571774483,1200,17
7058,143.591609,20.827,65,266.4142136,171.6812409,230.0300013,1,29.50946795,66.47597734,0,1636.294928,9.696185112,1200,0
7060,190.085458,13.213,26,235.3797257,280.6051224,134.523842,1,45.46453467,17.12369863,0,1214.354964,3.130732775,3500,0
7070,303.352004,,25,355.7350647,44.04163056,324.3929888,1,48.80785471,41.50949222,0,1488.834999,2.109760284,3500,1
7063,190.085458,7.562,17,232.882251,240.6345597,171.0143197,1,18.32588586,5.161325943,0,1199.025031,9.009299278,1200,0
7057,38.479355,112.898,260,355.5340546,32.52691193,321.0894765,1,38.79285117,28.65079099,0,1221.654958,0.43684876,4000,37
7101,190.085458,8712.956,3540,220.4264069,224.7056275,187.8959453,1,6.065775347,2.456880361,0,1357.80001,4.767695904,1000,461
7102,38.479355,48.144,104,391.5878785,6.414213562,350.9463203,1,5.402654348,6.228744691,0,1606.729982,3.107934713,1500,40
7103,38.479355,61.93,53,355.8183259,32.24264069,319.3200219,1,30.70271115,19.65398303,1,1499.054954,0.534753382,4000,8
7104,697.527042,48.97,151,321.254834,121.2842712,275.5163672,1,75.58308466,107.0523961,0,1652.354982,36.33006668,1000,4
7079,190.085458,209.981,103,219.2964646,247.4335495,168.5241645,1,16.69893692,12.65315159,0,1320.934985,6.773321152,1500,7
7120,303.352004,,1,312.5929291,75.46803743,284.7209294,0,30.60091473,37.37824478,0,1348.674976,0.492498845,3500,0
7107,227.611227,10.54,415,221.2253967,166.8355698,210.4302385,1,35.8642504,56.60734908,0,1278.959981,3.040601969,2500,9
7108,227.611227,3908.751,846,191.2132034,196.8477631,195.5449586,1,10.37095795,50.25855888,0,1435.179971,3.322136402,2500,53
7109,577.409318,96.224,196,326.2081528,245.3259018,167.0204434,1,40.18697974,73.71875222,0,1365.100003,1.045171738,3000,5
7085,190.085458,18.613,70,244.5391052,240.492424,168.717327,1,27.84910332,11.40441556,0,1524.240043,12.66490078,1200,3
7088,180.335309,8.857,19,237.391919,313.747258,104.909122,1,49.87394636,36.59614209,0,1360.354999,28.71262932,4000,0
7093,30.605168,24.18,42,296.6396103,210.7106781,193.8095696,1,20.55264975,67.46504075,0,1481.535006,4.100986958,1500,0
7098,143.591609,20.32,43,264.7279221,181.7523087,220.3946744,1,21.46610042,57.53235522,0,1550.885026,5.712809086,1200,2
7100,577.409318,19.524,47,336.5929291,256.254834,160.2291588,1,48.45181764,79.55424391,0,1412.915019,0.472365469,3500,2
7105,38.479355,22.003,54,392.3036072,4.242640687,353.5288879,1,14.86174194,22.78550623,0,1144.63997,0.09885329,4500,3
7112,577.409318,25.877,31,309.6101731,219.3969696,187.8055411,1,31.31427519,74.95842119,0,1569.865043,1.730917811,2000,1
7087,38.479355,77.316,127,402.1858582,31.89949494,360.6395488,1,29.74011159,30.84915884,1,1699.075077,23.72547531,1500,23
7113,577.409318,,37,276.3675324,229.6518036,176.3409012,1,21.18029247,43.16967975,0,1537.014987,2.588327169,2000,1
7115,388.45366,12.566,24,420.627417,192.8233765,323.505407,1,119.3435553,178.9370583,0,1403.42501,1.965157747,3000,0
7117,697.527042,0,30,301.2081528,86.85281374,276.4753738,1,43.20694175,51.63348913,0,1374.954985,1.146671295,3500,0
7118,577.409318,2.23,36,273.3086579,259.0365799,148.2224031,1,49.4064576,24.89875842,0,1484.089994,10.9540596,2000,0
7047,190.085458,18.636,73,263.4091629,254.9360749,153.1507812,1,46.47514823,23.12775442,0,1494.30995,15.10271454,1500,1
7092,190.085458,23.326,70,209.8944443,284.1320344,141.1741367,1,21.78299244,41.10920963,0,1296.480017,6.916067123,3000,5
7018,190.085458,19.767,87,237.2375901,268.119841,145.8262448,1,40.06799847,18.39594293,0,1460.364974,12.2173996,1500,2
7059,6.823576,309.617,637,416.1543289,222.1076477,276.1310438,1,84.1815806,188.8359647,0,1378.970042,0.716675103,3000,81
7061,58.831968,4959.034,561,185.7401154,248.4457429,176.8717468,1,33.05616764,38.78650408,0,1305.970025,0.786284328,1500,21
7064,30.605168,24.108,89,316.9827561,197.5979797,208.2178493,1,22.47607553,89.23153394,0,1496.499965,2.610523462,1500,1
7066,577.409318,27.624,111,305.9949494,236.1248917,171.4905448,1,40.20682386,62.29670032,0,1541.030045,4.693405151,2000,4
7071,38.479355,147.392,93,332.9898987,55.07106781,297.5264006,1,15.16451749,7.199639748,1,1580.084999,8.481801987,3500,7
7078,30.605168,5533.848,1870,278.1837662,197.2670273,205.2845428,1,4.075056077,58.8196668,0,1508.909936,8.806682587,1200,246
7032,303.352004,54.818,130,328.8772004,59.18376618,296.1934368,1,16.78813258,16.73879666,1,1403.789984,2.273088455,3500,19
7125,303.352004,,0,327.3502884,66.56854249,299.8262696,1,39.77483322,41.00217287,0,1345.024979,0.472690582,3500,1
7035,38.479355,15.318,53,398.2152955,19.48528137,356.3389663,1,18.03455771,18.88500235,0,1684.109943,21.71489334,1500,1
7062,180.335309,659.812,56,218.492424,313.374675,112.8917961,1,34.52531082,45.64218773,0,1306.334999,23.252388,3500,2
7037,38.479355,107.981,122,361.6173157,35.55634919,323.6408014,1,20.78822636,15.40530983,1,1580.814946,0.909086823,4000,12
