CVEGEO,dist_to_border_km
15066,850.7716446627545
15098,811.5634918610405
15025,767.5685424949237
15077,852.7594513539344
15078,841.9432175380083
15096,710.6518036156089
15104,751.480230740355
15107,855.9482681718908
15100,734.1248916810277
15082,872.2152954766503
15058,757.8528137423855
15064,764.8305191658
15109,741.2375900532357
15023,726.9655121145936
15040,850.4335495461295
15039,755.0832611206852
15005,795.6467529817261
15086,839.102597104442
15042,774.8183258569799
15049,818.9777054234136
15052,838.3208511739211
15103,768.0121933088196
15050,788.4680374315353
15101,804.2497833620556
15090,822.9482681718908
15062,793.4213562373094
15105,909.8721497261428
15068,792.3259018078044
15080,877.2741699796958
15106,800.6051224213833
15118,815.4041122946068
15036,699.6812408671317
15013,754.0365799264591
15124,786.7300141024117
15117,870.8183258569799
15046,765.0071426749363
15115,776.3208511739211
15045,718.1198410471446
15006,808.1492782986674
15012,806.5634918610405
15034,794.0121933088196
15041,832.1147904132621
15017,780.7401153701775
15102,737.504617357995
15089,779.8111831820429
15029,752.6396103067892
15087,777.1198410471446
15069,734.8111831820429
15084,708.0538238691622
15119,850.634559672906
15008,893.2863632885159
15011,741.367532368147
15121,741.9655121145936
15075,716.9827560572968
15018,814.7766952966371
15019,800.4924240491749
15020,739.5807358037433
15022,771.3969696196699
15047,767.7766952966371
15001,736.1320343559647
15048,761.6467529817261
15028,735.0538238691622
15063,819.5929291125632
15051,786.3208511739211
15085,749.1736649163075
15088,832.0487732352791
15027,805.634559672906
15122,770.5391052434007
15099,743.5685424949237
15004,860.8893936688454
15043,801.3502884254439
15035,724.2081528017129
15065,719.8406204335658
15079,710.8061325481598
15010,701.6518036156089
15037,776.5218613006977
15038,762.0782104868018
15091,727.480230740355
15033,742.0954544295048
15097,852.2031021678303
15114,799.102597104442
15095,737.2792206135783
15021,845.4041122946068
15002,729.7106781186546
16045,861.3961030678967
16093,772.2152954766503
16092,877.4823227814098
16088,809.636651713961
16085,850.8569978244951
16084,857.5554826343304
16074,851.780879378747
16055,945.4722215136447
16061,799.6000717875007
16073,840.2051942088852
16104,852.3544725075539
16089,966.3666658163739
16103,839.6681810065387
16102,892.6437943888985
16071,793.7909806465121
16064,939.2001435750027
16063,816.5605332682129
16062,832.8691911333152
16060,797.430590953302
16059,912.8742417671978
16058,900.3717164502565
16057,891.7077195258265
16056,860.702668891944
16079,881.4183976444818
16078,780.6660889654837
16018,801.5361466505727
16019,883.3250352560311
16020,789.5655839020955
16021,870.0285706997489
16022,820.4234482783644
16067,810.5310960166902
16072,805.9676041556485
16086,812.5849198858531
16087,895.5310960166902
16047,823.8843430349629
16046,836.9848480983511
16012,939.3544725075539
16065,867.9869401394061
16066,864.6904755831239
16068,901.5554826343304
16069,795.9869401394061
16070,835.6732316404212
16083,914.9991334482262
16002,994.2245301926429
16094,828.572726577033
16095,890.768686069927
16100,849.6194077712584
16105,817.3839097590766
16101,841.8670990922602
16111,885.9453095790633
16034,811.9259735953057
16017,752.6295090390234
16016,832.9331162702432
16015,1019.3077913133285
16014,1034.5037508062223
16053,831.6072144624383
16052,1053.2417741353454
16051,862.9230150024781
16050,770.1564209736049
16049,863.0508652763341
16042,827.4844148224648
16041,790.8132752230973
16038,936.1513703397223
16037,816.1341263970197
16036,795.6072144624383
16035,950.7737367038095
16023,841.1412690719573
16025,851.2295808265254
16040,806.1097397793795
16039,855.4772721475273
16026,1023.3910524340141
16027,810.3351365237962
16028,815.4011537017792
16029,954.104689145497
16030,819.442784262122
16054,803.0630585851542
16033,919.5016587651675
16076,853.2245301926429
16075,882.0702012600917
16080,781.4284989122469
16081,845.9137802864856
16082,885.0630585851542
16099,852.0264786586939
16003,797.8376618407375
16090,873.4600282048247
16091,871.6265504461959
16048,847.4062043356618
16001,856.50670939905
16024,855.6732316404212
16009,907.2468247692279
16008,1058.935208311298
16007,793.4995667241125
16006,962.312841947211
16005,792.3574311003814
16004,799.0752518939743
16011,825.3544725075539
16010,1018.6854249492413
16110,786.6538956566636
16109,806.5016587651675
16108,834.2712113868682
16107,838.6316010800784
16106,802.6143571373758
16013,898.2518754031106
16044,821.2468247692279
16043,847.7564927611068
16077,929.8254685319174
16032,856.0752518939743
16031,735.3574311003814
16098,807.6417023478435
16097,918.8204178980349
16096,1008.4549775709421
16113,779.4478348960046
16112,815.0142853498738
17008,831.066017177982
17003,843.0121933088196
17036,801.9411254969542
17029,819.6812408671317
17018,832.2081528017129
17014,853.9360748630708
17019,844.6396103067892
17006,820.5391052434007
17001,865.764501987817
17025,861.0954544295048
17002,804.6396103067892
17026,807.367532368147
17023,798.1959594928932
17004,833.367532368147
17010,826.8406204335658
17017,866.0365799264591
