CVEGEO,dist_min_ports
16070,218.21021190208634
16083,154.2394859140381
16002,110.76208828010624
16094,228.20759217115886
16095,192.55487839163365
16100,195.55485852379124
16105,235.68578069484005
16101,211.49127245353398
16111,166.37310792290018
16034,242.77490154904467
16017,304.2972856060255
16016,212.592307811791
16015,125.76984609329921
16014,81.38264482007972
16053,212.52564149431637
16052,26.23317785654428
16051,179.1449211079141
16050,283.0225769859574
16049,187.40853116576457
16042,234.45469978599468
16041,266.05677987071005
16038,137.6481373164272
16037,226.8682192149471
16036,245.74912894872296
16035,102.64292028166297
16023,224.80965956505034
16025,206.717508007912
16040,239.68250320428248
16039,190.0568595994208
16026,100.75737465909066
16027,232.23656097493438
16028,241.71891823256004
16029,101.25418287133859
16030,244.55068136059663
16054,238.92860209907678
16033,135.29498552798765
16076,196.91495080843885
16075,190.2018534811771
16080,277.5046224865872
16081,232.05441130967665
16082,163.68834172890394
16099,216.7059893240241
16003,245.48039971818255
16090,176.7845207378764
16091,206.46093671346006
16048,197.7216216535334
16001,189.8368785860803
16024,198.8251148314182
16009,142.72424321518383
16008,121.62990718198053
16007,266.9646376918542
16006,112.7446247223707
16005,271.7606763289886
16004,247.1586984965287
16011,223.6002052426456
16010,47.20575556251761
16110,259.4319919209669
16109,248.03746086602928
16108,231.06354143238408
16107,210.97962664880933
16106,259.5918794397418
16013,165.19322307843268
16044,224.6966101511893
16043,220.5163165345375
16077,164.482026246203
16032,191.15044362216224
16031,314.26279267452753
16098,252.77659723888934
16097,135.0281137523251
16096,75.49906223194255
16113,263.58982196497766
16112,254.6421275465152
17008,323.7562420551483
17003,285.97150101334387
17036,271.8360214063828
17029,309.46374599716205
17018,322.47113599564324
17014,308.2000607669886
17019,299.08981744345135
17006,300.69034590512933
17001,303.4486301780411
17025,319.6175560445918
17002,292.1305269275108
17026,300.3475092565931
17023,301.156925859745
17004,304.50444445491013
17010,283.0174659228167
17017,311.88314957957476
17015,312.1253468671473
17022,273.3238495433683
17009,326.90920600992035
17011,321.2216936480487
17012,320.2191991085452
17024,318.1375832036501
17030,289.33200652390576
17013,288.13395175401513
17034,315.08180805225214
17020,313.69301072345473
17031,324.01500201699514
17021,303.6137224195692
17027,293.8988776777966
17016,280.9753907773148
17032,279.3753924216293
17033,284.09343944196416
17035,320.2319467331111
17007,326.7420736774403
17005,301.40601743273845
17028,323.66078324077114
18009,175.01314284664593
18003,90.57276248213759
18015,133.87559390583104
18014,103.88123384592355
18007,106.12160987708936
18005,128.25205830434223
18017,116.1344140224643
18013,76.78202121782479
18012,104.94647243040075
18011,151.64423794663378
18010,162.84685191415076
18002,82.0760959929831
18001,143.52501721300294
18018,146.1506332281747
18019,150.80513595515774
18004,57.07938095579352
18006,106.52908764166168
18020,22.35342655893409
18008,87.99476792061633
18016,132.04157112194488
19035,431.089975131935
19036,253.14637840669306
19002,464.66989528480065
19013,354.0959977553457
19014,289.9533310930295
19032,570.251385735602
19001,462.9194854400733
19031,417.04258903947755
19015,407.1168424019527
19043,367.7701484496572
19048,434.31382114643867
19047,470.9678468454481
19040,490.1713409064259
19037,515.889809298604
19027,414.4793785584847
19020,385.1522506483093
19005,583.7904400761577
19019,434.08199134850577
19041,421.12858180739454
19008,530.4903122799961
19026,427.0942369542584
19051,510.0694340898361
19007,281.7729053858825
19050,507.38713875332166
19049,402.6569268769586
19034,433.8119154716787
19045,476.5267438133841
19038,354.5558379793983
19033,313.79604646339385
19010,456.5405045797917
19023,446.2961942747097
19009,397.6535919150473
19029,324.8774793261865
19030,313.14977262235686
19006,437.28771824390566
19028,450.8351291442435
19025,445.8049228406469
19046,436.5440530885728
19021,449.17091544364723
19003,427.86639872480146
19042,394.7295765684982
19018,465.6761744036644
19017,359.9543033535078
19016,423.84775423141855
19011,441.79685025187956
19044,511.1473063973691
19004,383.0490872870743
19022,349.4352954976262
19024,246.44530072892587
19039,430.4109467170698
19012,454.68562742654234
20155,193.9028394939091
20481,289.0274177506665
20378,195.19477134838016
20334,250.72262464772584
20437,139.24651204284783
20441,28.315285942717587
20446,294.4254835508576
20447,304.31496768748553
20469,298.63473026879507
20440,67.56299347895802
20513,76.14233121642403
20278,109.96056227569888
20457,182.756703214819
20482,313.14308547480806
20329,240.14766477892934
20330,143.98035966157684
20170,124.55772377301135
20230,272.8422371701387
20184,129.97826661842933
20214,178.18325039604778
20220,174.99857569848234
20262,176.58052355281188
20266,99.46189733329706
20265,99.66274841127924
20318,201.99011402729616
20327,105.53928490340394
20556,213.9178297477754
20005,60.485723650577405
20517,126.73081255735016
20565,188.77990833933458
20503,161.88199319962848
20500,260.60644215519596
20059,156.3834119566096
20177,184.24560522947965
20364,224.6758424318266
20057,111.61961505132834
20544,203.13953621902476
20410,71.9969663794879
20435,121.33830144702426
20417,149.68701727320743
20439,164.99123562176118
20251,296.7742789141265
20467,276.98408053438226
20559,156.9534685499221
20169,117.5466780191801
20118,161.0282340469152
20568,231.55040010153508
20460,154.39116058597034
20044,135.4082615371769
20507,339.2806442072982
20515,21.862339321707367
20516,226.98510912619844
20051,166.00943777472006
20041,136.5782706176947
20042,190.25388263859926
20071,134.70269642625664
20223,173.27211058321046
20190,131.47177068452882
20097,164.67301050551507
