,CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime
44,5012,0.0,0.0,0.1164016860528081,0.1504550567838726,0.9461968716314891,0.03605225654238775,1.0,0.2227179971951646,0.32032458804143715,0.0,0.5510204377418992,0.709707638386519,0.7125442614903211,1.0
45,5009,0.0,0.6181663723784205,0.5383919711269288,0.15948742403703997,0.7100049267427042,0.10276781806253754,1.0,0.2547198260241147,0.27289507887202136,1.0,0.678245686466417,0.5363979821037953,0.6304410739041073,0.47351045577871675
46,5005,0.0,0.0,0.17052538783428509,0.16405176026075174,0.8791994582334123,0.06872116655270921,1.0,0.2887546045681483,0.23477218057153904,0.0,0.4902302214549392,0.4102296686958786,0.7125442614903211,0.8822616494359928
47,5004,0.0,0.8018204605716526,0.504568427829279,0.18559159093138178,0.7898655858630974,0.12509896449628766,1.0,0.3529571631632079,0.4207352575520934,0.0,0.40642634874209604,0.3349961458203727,0.7606458862803938,0.37626133310763177
48,5016,0.0,0.1839662732405308,0.2717650557236629,0.1551537469692258,0.8230644717661526,0.048935677397292654,1.0,0.28303710983869135,0.24249045000394454,1.0,0.6673904459887186,0.4249575156120245,0.7125442614903211,0.8822616494359928
49,5035,0.0,0.9267462953450035,0.8208840772886177,0.17413818130093162,0.6260393470091972,0.14153500212213177,1.0,0.3403786521971697,0.3743842721892682,1.0,0.6187582315490623,0.47180923210553954,0.6784442506275288,0.15027359665936402
50,5014,0.0,0.2619092328703178,0.29376514838640144,0.13778988332514042,0.9715754047985569,0.0061985171155771734,1.0,0.36766798204199713,0.34686260850122763,1.0,0.5562310691194414,0.7038816983308384,0.7125442614903211,0.5807482395941909
51,5008,0.0,0.0,0.1164016860528081,0.15611301476642303,0.8576525713501032,0.04711217437107584,1.0,0.31417787233380423,0.3357713886796989,1.0,0.5280069883664569,0.5229893807071424,0.7125442614903211,0.7645232988719857
52,5019,0.0,0.396227365876302,0.35677637697299236,0.1448659381966223,0.9461872441351733,0.022032380630931492,1.0,0.28579588558759694,0.47468289446235756,1.0,0.630047863850256,0.6894851411232042,0.7125442614903211,0.6508295817171241
53,5038,0.0,0.3548909833819304,0.41016683443920954,0.13820445572450712,0.9421039145370108,0.006393279703883925,1.0,0.23870955996647014,0.33931833818436163,1.0,0.5757708332600029,0.5400552012649301,0.7125442614903211,0.5896842520574764
54,5037,0.0,0.14165876981627357,0.29376514838640144,0.14877994922234505,0.9422722540190215,0.031775879075389035,1.0,0.32009964738075125,0.38404526221883795,1.0,0.588363019880362,0.7332106229401535,0.7125442614903211,0.8079770209287339
55,5001,0.0,0.0,0.1164016860528081,0.15853143646205703,0.8542698303517064,0.05288250370937786,1.0,0.3921720309008413,0.29148651656076396,1.0,0.5649153857318643,0.516379831973622,0.7125442614903211,0.8822616494359928
56,5017,0.0,0.6900880727118418,0.6271268138100495,0.16909037479630606,0.6432608484762559,0.12817162217501132,1.0,0.7398249972094587,0.4717588015937916,1.0,0.8918801235925489,0.6116778842012056,0.6304410739041073,0.31770494726657583
57,5002,0.0,0.7804090095601431,0.6285414326966552,0.12916386311203965,0.921776250035361,2.220446049250313e-16,1.0,0.16909507566726167,0.19051812538733148,1.0,0.5827182037297651,0.4766250413392204,0.7125442614903211,0.22753318790216936
58,5026,0.0,,0.0,0.15586600343614754,0.8824331147424298,0.04783512811257995,1.0,0.31083891434384137,0.37547610278993826,1.0,0.4732957730031486,0.42478143333336515,0.7125442614903211,0.8822616494359928
59,5021,0.0,0.17355608032874506,0.34105077566857017,0.15491144848488936,0.8339597690254635,0.04395714749510016,1.0,0.30491322349590644,0.26876051341709595,1.0,0.6157187310872363,0.4616569213058238,0.7125442614903211,0.6639688805647354
60,5013,0.0,,0.0,0.1550217184396211,0.9556949795308141,0.04742072808459041,1.0,0.16766751041693018,0.24585331785940956,0.0,0.5679548861936903,0.7290125047671917,0.7390115964200016,1.0
61,5024,0.0,0.5879266022395184,0.5315977605821658,0.17553604899616404,0.7278244179845039,0.09127304845990336,1.0,0.1943373713243287,0.20597569192126364,1.0,0.6743378164584808,0.5224469726335891,0.7125442614903211,0.40741072438439396
62,5020,0.0,0.5098244003129457,0.6251140703405801,0.14067147782991374,0.8905476486176306,0.020038967603015045,1.0,0.18157459235730988,0.2591439835197169,1.0,0.41033432227525246,0.15755850182307404,0.7606458862803938,0.3743700475807784
63,5023,0.0,0.6224894065360852,0.3736298191175524,0.14146054320194856,0.8139399009988877,0.04733762483569404,1.0,0.079829227187727,0.1662461722052151,1.0,0.48762490576616835,0.43091311089772194,0.6784442506275288,0.6844442827380792
64,5022,0.0,0.8769811847781663,0.499940907199288,0.1448287104326692,0.981919197947481,0.0225105354617261,1.0,0.20011666511277548,0.45794818214726074,1.0,0.5570994386655517,0.7142928753128629,0.7390115964200016,0.4808481542887606
65,5015,0.0,0.0,0.14688257419320072,0.15446180316360747,0.9128200187501069,0.04552857536148669,1.0,0.31023863569200616,0.37500583809634924,0.0,0.6022579678703264,0.6946456073118947,0.7125442614903211,1.0
66,5011,0.0,0.3331529754772324,0.3854145511769584,0.17821049360735064,0.7639066660966947,0.09259681565210842,1.0,0.2796640058190323,0.2493763053907364,1.0,0.5827182037297651,0.4015085619405037,0.6304410739041073,0.5344740898901891
67,5034,0.0,0.17894558539186145,0.3062446592022165,0.14386438577572835,0.7953132344927527,0.07431851011194546,1.0,0.12439887553133111,0.20766173564894141,1.0,0.6769431321472517,0.4911788817791288,0.6784442506275288,1.0
68,5033,0.0,0.5886076445679593,0.5903885574389284,0.16478711507766997,0.7037308478560815,0.09638224161578601,1.0,0.32116921530664666,0.262798562939239,1.0,0.7216674765789717,0.42705014706936417,0.6304410739041073,0.38114093458440257
69,5031,0.0,0.4150688543255545,0.499940907199288,0.14673259255323134,0.8598336931422479,0.034088186302670076,1.0,0.21239522325440496,0.2863508961612856,0.0,0.6248372324727143,0.4665034311979388,0.7125442614903211,0.5251490749484011
70,5030,0.07425148231235333,0.987594149109839,0.8486190951487637,0.1876186843164679,0.7405193242248088,0.12060215060244706,1.0,0.30804836372352573,0.3441494211038836,1.0,0.6074685992478686,0.42317678583475454,0.7125442614903211,0.21176396485071114
71,5028,0.0,0.6876515105437702,0.5919878841174642,0.14931954665545943,0.914706959403039,0.032082414325480535,1.0,0.5835624578468817,0.6231007764612704,1.0,0.6335215490851371,0.6085947411998004,0.7125442614903211,0.38080862403857274
72,5027,0.0,1.0,0.6642319451346081,0.17421263205308624,0.8066886555486932,0.08818375957554725,1.0,0.2717523776825731,0.30144865109002694,1.0,0.5262700422237965,0.4976806789271468,0.7125442614903211,0.296249287802439
73,5025,0.0,0.8075830784020727,0.65167715660288,0.14165842789634098,0.992837738038969,0.015001603185366363,1.0,0.25033290361965443,0.39164415487930737,1.0,0.5588363848082123,0.7096385063904667,0.7390115964200016,0.20289101215103467
74,6009,0.2229333392638425,0.7068880932456674,0.677067602103202,0.1946168729456782,0.18905637173668322,0.4449351618763425,1.0,0.11287186402952543,0.3248244229463483,1.0,0.468519326398662,0.3374320581613662,0.8212921674167302,0.3167881746515595
75,6005,0.05551351168773205,0.5876364152348217,0.5329919041265682,0.21095837328676315,0.2380483512355438,0.4399165918952619,1.0,0.4898408503423445,0.25080745170913366,1.0,0.7277464775026237,0.3107571614022872,0.8429462157448122,0.47590096526500525
76,6010,0.0,0.5170193236130813,0.6798744783197689,0.20692370018072903,0.22763881742963343,0.5090513589785515,1.0,0.5188456060476745,0.2989094095274861,0.0,0.6908380801372165,0.11789821774384017,0.8429462157448122,0.2667836235745922
77,6008,0.0,0.26116706108829985,0.3767011466471717,0.20356229786657865,0.22774141625465794,0.5468168246967173,1.0,0.3657269902913344,0.34119582954471595,0.0,0.5349543588362191,0.062028877602315506,0.869453057760477,0.5705338414139879
78,6002,0.2229333392638425,0.6476811315893507,0.7205010080087886,0.2118235784015211,0.2185799873193548,0.4630316416870852,1.0,0.48193334623037665,0.2560178194058398,1.0,0.669127185080939,0.30851693006307696,0.7947952132712555,0.2071372003787445
79,6007,0.0,0.6549739550871497,0.6717825030241189,0.2008926083442032,0.19963424502460436,0.8090739307853807,1.0,0.26815640750069203,0.44323948665649504,1.0,0.6057316531052079,0.20925324757415747,0.8212921674167302,0.18692177076760008
80,6006,0.2229333392638425,0.1731204418953941,0.311973264080358,0.21207923463874934,0.20431157655796284,0.4760704025059391,1.0,0.38376951578334506,0.2580923902297465,0.0,0.6296134720267608,0.3026099640074774,0.7789425991309047,0.6391266864816243
81,6003,0.05551351168773205,0.36873094427417963,0.5294715344347074,0.20766495454785716,0.23847800152827403,0.47123882217208624,1.0,0.48627057083762193,0.2792358953306062,0.0,0.6582717375528004,0.13542631627909127,0.8429462157448122,0.4681316175876462
