,CVEGEO,crime
667,14122,5
668,14123,53
669,14124,154
670,14125,5
671,14998,0
672,15001,133
673,15002,418
674,15003,123
675,15004,10
676,15005,386
677,15006,26
678,15007,30
679,15008,8
680,15009,198
681,15010,74
682,15011,256
683,15012,37
684,15013,1887
685,15014,406
686,15015,49
687,15016,203
688,15017,14
689,15018,132
690,15019,89
691,15020,1118
692,15021,45
693,15022,75
694,15023,250
695,15024,847
696,15025,2306
697,15026,37
698,15027,44
699,15028,116
700,15029,633
701,15030,155
702,15031,2515
703,15032,29
704,15033,6044
705,15034,13
706,15035,886
707,15036,72
708,15037,767
709,15038,25
710,15039,1418
711,15040,79
712,15041,5
713,15042,329
714,15043,33
715,15044,106
716,15045,325
717,15046,45
718,15047,96
719,15048,182
720,15049,25
721,15050,54
722,15051,585
723,15052,66
724,15053,218
725,15054,1209
726,15055,60
727,15056,46
728,15057,3970
729,15058,2956
730,15059,274
731,15060,1319
732,15061,110
733,15062,251
734,15063,87
735,15064,72
736,15065,205
737,15066,3
738,15067,211
739,15068,73
740,15069,11
741,15070,1329
742,15071,124
743,15072,24
744,15073,73
745,15074,135
746,15075,137
747,15076,427
748,15077,3
749,15078,5
750,15079,67
751,15080,6
752,15081,2119
753,15082,57
754,15083,41
755,15084,111
756,15085,135
757,15086,47
758,15087,202
759,15088,283
760,15089,28
761,15090,211
762,15091,524
763,15092,326
764,15093,87
765,15094,45
766,15095,510
767,15096,75
768,15097,17
769,15098,6
770,15099,1127
771,15100,156
772,15101,275
773,15102,23
774,15103,106
775,15104,3755
776,15105,18
777,15106,4561
778,15107,25
779,15108,703
780,15109,1994
781,15110,172
782,15111,56
783,15112,73
784,15113,82
785,15114,149
786,15115,177
787,15116,2
788,15117,4
789,15118,595
790,15119,15
791,15120,1062
792,15121,3048
793,15122,1458
794,15123,5
795,15124,72
796,15125,53
797,16001,24
798,16002,4
799,16003,63
800,16004,12
801,16005,5
802,16006,573
803,16007,4
804,16008,13
805,16009,69
806,16010,62
807,16011,6
808,16012,52
809,16013,0
810,16014,15
811,16015,23
812,16016,25
813,16017,42
814,16018,43
815,16019,28
816,16020,74
817,16021,5
818,16022,59
819,16023,18
820,16024,10
821,16025,67
822,16026,2
823,16027,12
824,16028,39
825,16029,3
826,16030,70
827,16031,11
828,16032,16
829,16033,22
830,16034,209
831,16035,14
832,16036,12
833,16037,21
834,16038,71
835,16039,16
836,16040,38
837,16041,19
838,16042,11
839,16043,264
840,16044,18
841,16045,92
842,16046,10
843,16047,12
844,16048,15
845,16049,21
846,16050,209
847,16051,10
848,16052,846
849,16053,3916
850,16054,12
851,16055,75
852,16056,29
853,16057,3
854,16058,16
855,16059,12
856,16060,19
857,16061,13
858,16062,12
859,16063,39
860,16064,29
861,16065,36
862,16066,325
863,16067,12
864,16068,19
865,16069,328
866,16070,16
867,16071,147
868,16072,32
869,16073,74
870,16074,11
871,16075,73
872,16076,136
873,16077,12
874,16078,6
875,16079,124
876,16080,13
877,16081,3
878,16082,91
879,16083,61
880,16084,79
881,16085,52
882,16086,27
883,16087,35
884,16088,257
885,16089,32
886,16090,31
887,16091,65
888,16092,12
889,16093,17
890,16094,8
891,16095,23
892,16096,0
893,16097,10
894,16098,29
895,16099,8
896,16100,45
897,16101,11
898,16102,1538
899,16103,29
900,16104,22
901,16105,18
902,16106,42
903,16107,80
904,16108,657
905,16109,7
906,16110,131
907,16111,77
908,16112,383
909,16113,36
910,17001,26
911,17002,90
912,17003,83
913,17004,218
914,17005,19
915,17006,1709
916,17007,3597
917,17008,624
918,17009,343
919,17010,70
920,17011,1215
921,17012,358
922,17013,59
923,17014,24
924,17015,28
925,17016,51
926,17017,210
927,17018,609
928,17019,34
929,17020,219
930,17021,25
931,17022,23
932,17023,22
933,17024,79
934,17025,67
935,17026,59
936,17027,15
937,17028,347
938,17029,918
939,17030,191
940,17031,73
941,17032,13
942,17033,56
943,17034,16
944,17035,37
945,17036,7
946,18001,53
947,18002,20
948,18003,12
949,18004,152
950,18005,13
951,18006,40
952,18007,13
953,18008,49
954,18009,1
955,18010,41
956,18011,16
957,18012,37
958,18013,10
959,18014,23
960,18015,107
961,18016,41
962,18017,543
963,18018,25
964,18019,1
965,18020,311
966,19001,0
967,19002,1
968,19003,0
969,19004,45
970,19005,10
971,19006,567
972,19007,5
973,19008,5
974,19009,101
975,19010,87
976,19011,3
977,19012,83
978,19013,14
979,19014,42
980,19015,3
981,19016,4
982,19017,58
983,19018,386
984,19019,159
985,19020,17
986,19021,461
987,19022,12
988,19023,2
989,19024,1
990,19025,69
991,19026,635
992,19027,1
993,19028,1
994,19029,9
995,19030,0
996,19031,587
997,19032,1
998,19033,72
999,19034,2
1000,19035,0
1001,19036,0
1002,19037,10
1003,19038,87
1004,19039,1863
1005,19040,0
1006,19041,128
1007,19042,8
1008,19043,1
1009,19044,17
1010,19045,132
1011,19046,379
1012,19047,15
1013,19048,252
1014,19049,57
1015,19050,4
1016,19051,4
1017,20001,0
1018,20002,14
1019,20003,1
1020,20004,0
1021,20005,10
1022,20006,52
1023,20007,2
1024,20008,0
1025,20009,5
1026,20010,8
1027,20011,0
1028,20012,5
1029,20013,5
1030,20014,45
1031,20015,2
1032,20016,1
1033,20017,1
1034,20018,1
1035,20019,2
1036,20020,0
1037,20021,7
1038,20022,0
1039,20023,21
1040,20024,1
1041,20025,9
1042,20026,3
1043,20027,0
1044,20028,51
1045,20029,2
1046,20030,16
1047,20031,1
1048,20032,0
1049,20033,4
1050,20034,1
1051,20035,0
1052,20036,0
