CVEGEO,pv_mean_annual_kwh
16070,1707.4699902534485
16083,1440.6550097465515
16002,1560.3750348091125
16094,1745.4300236701965
16095,1689.5850682258606
16100,1680.0950598716736
16105,1843.6150431632996
16101,1647.2450041770935
16111,1737.034935951233
16034,1540.2999234199524
16017,1781.929988861084
16016,1655.6399178504944
16015,1527.160005569458
16014,1553.804988861084
16053,1680.0950598716736
16052,1689.950041770935
16051,1703.820080757141
16050,1741.0499930381775
16049,1627.5350403785706
16042,1819.890022277832
16041,1744.3349289894104
16038,1665.4950737953186
16037,1743.6049818992615
16036,1827.9199624061584
16035,1548.3300375938416
16023,1759.665036201477
16025,1669.874930381775
16040,1632.6450181007385
16039,1664.3999791145325
16026,1551.979947090149
16027,1759.665036201477
16028,1799.084963798523
16029,1639.945011138916
16030,1788.135061264038
16054,1724.259991645813
16033,1676.4449763298035
16076,1792.5149178504944
16075,1568.7699484825134
16080,1620.6000208854675
16081,1665.4950737953186
16082,1651.6250348091125
16099,1662.9400849342346
16003,1793.974986076355
16090,1686.6649317741394
16091,1650.8949136734009
16048,1744.7000765800476
16001,1656.370038986206
16024,1648.705072402954
16009,1630.0900292396545
16008,1511.0999512672424
16007,1711.485047340393
16006,1593.590064048767
16005,1596.5100264549255
16004,1794.704933166504
16011,1858.580002784729
16010,1619.8700737953186
16110,1627.900013923645
16109,1798.7199902534485
16108,1780.104947090149
16107,1643.5949206352234
16106,1834.8549818992615
16013,1665.860047340393
16044,1727.544927597046
16043,1740.3200459480286
16077,1685.9349846839905
16032,1749.079933166504
16031,1775.7249164581299
16098,1697.615008354187
16097,1673.1600403785706
16096,1573.8799262046814
16113,1811.129961013794
16112,1556.7249512672424
17008,1806.019983291626
17003,1875.3700041770935
17036,1760.394983291626
17029,1801.639952659607
17018,1835.219955444336
17014,1850.915036201477
17019,1816.6050863265991
17006,1844.709963798523
17001,1797.625069618225
17025,1791.7849707603455
17002,1798.355016708374
17026,1789.594955444336
17023,1750.904974937439
17004,1824.270052909851
17010,1846.1700320243835
17017,1734.8449206352234
17015,1824.270052909851
17022,1624.9800515174866
17009,1661.8449902534485
17011,1812.22505569458
17012,1817.335033416748
17024,1812.22505569458
17030,1770.2499651908875
17013,1848.7250208854675
17034,1854.5649456977844
17020,1706.7400431632996
17031,1852.374930381775
17021,1843.980016708374
17027,1788.865008354187
17016,1689.2199206352234
17032,1786.6749930381775
17033,1849.819941520691
17035,1856.3899874687195
17007,1696.5199136734009
17005,1843.980016708374
17028,1859.309949874878
18009,1475.329933166504
18003,1752.3650431632996
18015,1678.634991645813
18014,1699.440050125122
18007,1613.6650013923645
18005,1545.410075187683
18017,1601.255030632019
18013,1735.9400153160095
18012,1587.7499651908875
18011,1618.0450320243835
18010,1671.69997215271
18002,1762.220025062561
18001,1605.635061264038
18018,1731.924958229065
18019,1547.5999164581299
18004,1584.10005569458
18006,1707.105016708374
18020,1620.964994430542
18008,1594.6849846839905
18016,1731.924958229065
19035,1584.4650292396545
19036,1728.640022277832
19002,1568.7699484825134
19013,1573.8799262046814
19014,1707.4699902534485
19032,1467.664966583252
19001,1454.1599881649017
19031,1444.3050062656403
19015,1580.8149456977844
19043,1399.775013923645
19048,1274.945011138916
19047,1420.5799853801727
19040,1577.894983291626
19037,1422.4050271511078
19027,1586.2900710105896
19020,1570.959963798523
19005,1577.894983291626
19019,1385.5400013923645
19041,1565.4850125312805
19008,1430.80002784729
19026,1437.0050132274628
19051,1341.0100090503693
19007,1116.8999791145325
19050,1585.559949874878
19049,1189.1699624061584
19034,1522.4150013923645
19045,1355.2450215816498
19038,1389.1899979114532
19033,1306.69997215271
19010,1527.5249791145325
19023,1580.8149456977844
19009,1451.6049993038177
19029,1610.745038986206
19030,1515.844955444336
19006,1593.9550375938416
19028,1504.5300793647766
19025,1596.875
19046,1576.4349150657654
