CVEGEO,water_availability
20082,0.0
20086,0.0
20083,3.030253
20087,3.030253
20089,2.462729
20090,20.634036
20091,3.030253
20095,7.602375
20100,30.778398
20199,2.254951
20102,3.030253
20233,19.097052
20103,3.030253
20105,1.937141
20107,3.030253
20108,0.0
20109,23.352309
20110,0.0
20111,111.556852
20527,23.352309
20116,30.778398
20114,30.778398
20115,3.030253
20119,0.0
20014,19.097052
20123,0.0
20122,19.097052
20126,1.700436
20127,0.0
20128,30.778398
20529,2.254951
20131,19.097052
20130,3.437684
20152,2.254951
20132,3.030253
20135,3.030253
20136,23.352309
20137,0.0
20139,30.778398
20142,30.778398
20140,0.508321
20160,2.254951
20143,3.437684
20144,0.508321
20145,3.030253
20531,3.030253
20146,15.914757
20148,1.700436
20151,23.352309
20157,3.030253
20248,19.097052
20158,0.0
20162,19.097052
20176,2.462729
20165,2.254951
20167,15.914757
20530,3.030253
20187,23.352309
20171,30.778398
20188,20.634036
20173,23.352309
20174,3.030253
20191,23.352309
20196,23.352309
20178,3.030253
20197,3.030253
20180,111.556852
20215,0.508321
20181,1.73708
20480,1.937141
20182,30.778398
20183,9.344285
20189,30.778398
20192,3.030253
20193,3.030253
20194,19.097052
20195,0.0
20210,1.937141
20200,19.097052
20201,30.778398
20203,19.097052
20208,1.937141
20209,1.700436
20284,19.097052
20219,3.030253
20216,30.778398
20221,0.508321
20222,30.778398
20541,30.778398
20224,0.508321
20225,20.634036
20226,19.097052
20228,30.778398
20231,19.097052
20239,0.0
20234,23.352309
20240,0.0
20241,3.030253
20242,111.556852
20243,3.030253
20244,23.352309
20249,30.778398
20245,2.254951
20269,0.0
20247,23.352309
20250,0.508321
20255,0.0
20252,0.0
20257,30.778398
20258,0.0
20259,9.344285
20260,23.352309
20268,0.0
20276,23.352309
20281,0.508321
20274,0.0
20532,0.0
20280,30.778398
20533,7.602375
20368,3.030253
20282,8.463489
20283,23.352309
20535,0.0
20286,1.937141
20285,20.634036
20288,30.778398
20289,15.914757
20292,0.0
20380,3.030253
20294,3.030253
20295,3.030253
20538,15.914757
20296,23.352309
20297,0.0
20304,0.508321
20299,30.778398
20300,111.556852
20308,19.097052
20301,3.030253
20311,23.352309
20302,20.634036
20303,30.778398
20305,19.097052
20321,2.462729
20332,0.508321
20307,1.700436
20312,20.634036
20313,23.352309
20314,0.0
20331,0.0
20315,3.030253
20316,19.097052
20317,1.937141
20360,3.030253
20319,1.700436
20320,0.0
20322,30.778398
20323,19.097052
20325,19.097052
20326,30.778398
20328,19.097052
20335,30.778398
20336,23.352309
20339,0.508321
20341,2.462729
20342,3.030253
20343,3.030253
20345,111.556852
20346,1.937141
20347,1.700436
20539,3.030253
20211,1.700436
20212,30.778398
20213,0.0
20348,111.556852
20349,3.030253
20540,2.462729
20350,3.030253
20352,2.254951
20353,15.914757
20354,30.778398
20355,30.778398
20358,3.030253
20362,15.914757
20361,19.097052
20363,3.030253
20373,23.352309
20369,3.030253
20370,0.0
20381,2.254951
20372,0.0
20374,30.778398
20293,3.030253
20382,0.0
20375,3.030253
20376,2.254951
20383,0.0
20408,0.0
20384,15.914757
20387,3.030253
20411,3.030253
20388,0.0
20106,2.462729
20055,2.254951
20390,3.030253
20391,7.602375
20418,19.097052
20392,0.0
20393,3.030253
20394,30.778398
20395,23.352309
20396,23.352309
20397,0.0
20398,0.0
20399,3.030253
20400,1.73708
20402,20.634036
20154,15.914757
20156,30.778398
20403,3.030253
20419,23.352309
20405,2.462729
20409,3.030253
20412,19.097052
20415,111.556852
20287,2.462729
20416,23.352309
20420,0.0
20421,19.097052
20425,23.352309
20428,19.097052
20432,30.778398
20429,0.0
20430,0.0
20431,23.352309
20270,23.352309
20433,11.016983
20442,30.778398
20438,30.778398
20434,23.352309
20444,0.0
20443,23.352309
20445,0.0
20448,0.0
20449,19.097052
20452,3.030253
20453,8.463489
20454,30.778398
20455,2.254951
20458,23.352309
20461,2.254951
20462,1.73708
20464,23.352309
20465,179.154991
20471,30.778398
20472,19.097052
20473,30.778398
20474,20.634036
20475,19.097052
20476,2.254951
20389,3.030253
20478,23.352309
20012,7.602375
20028,15.914757
20039,2.254951
20064,19.097052
20066,3.437684
20067,3.030253
20068,19.097052
20073,0.0
20085,7.602375
20088,0.0
20483,3.030253
20486,2.462729
20093,2.462729
20113,7.602375
20487,3.030253
20488,23.352309
20496,23.352309
20509,7.602375
20557,19.097052
20560,3.030253
20038,30.778398
20238,0.0
21053,0.33811
21211,13.283498
21206,34.070832
21152,0.0
